Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Гарвардский университет,1,США,30281.5,30196.5,,4,4,1
Массачусетский технологический институт,2,США,58224.0,58224.0,58224.0,1,3,3
Стэнфордский университет,3,США,57678.0,57075.0,,5,2,2
Кембриджский университет,4,Великобритания,34218.0,27337.0,36828.5,2,5,4
Калифорнийский технологический институт,5,США,48098.0,48098.0,,15,7,9
Оксфордский университет,6,Великобритания,28101.0,27707.0,44546.0,3,1,7
Принстонский университет,7,США,55995.0,54935.5,,17,6,6
Чикагский университет,8,США,59240.0,54480.5,,11,10
Университетский колледж Лондона,9,Великобритания,24430.0,24290.0,,9,22,17
Йельский университет,10,США,59934.0,42938.5,50211.5,16,10,11
Швейцарская высшая техническая школа Цюриха,11,Швейцария,1225.0,1225.0,,7,11,20
Калифорнийский университет в Беркли,12,США,36767.0,35162.5,35162.5,10,9,5
Колумбийский университет,13,США,46833.0,42911.5,,23,17,8
Корнелльский университет,14,США,68436.5,48693.5,67716.0,13,20,12
Имперский колледж Лондона,15,Великобритания,43923.5,32522.0,,6,8,23
Университет Джонса Хопкинса,16,США,58704.0,37680.0,46568.0,28,15,16
Пенсильванский университет,17,США,69321.0,69321.0,69321.0,12,16,14
Калифорнийский университет в Лос-Анджелесе,18,США,62205.0,62205.0,,29,18,13
Мичиганский университет,19,США,53218.0,51925.0,,33,23,26
Калифорнийский университет в Сан-Диего,20,США,45382.5,27644.0,33093.0,62,19
Университет Торонто,21,Канада,31971.0,31971.0,,21,21,24
Северо-Западный университет,22,США,59127.0,42657.5,,47,28,30
Университет Дьюка,23,США,60578.0,54282.5,,57,26,34
Токийский университет,24,Япония,4111.0,4099.0,13105.5,28,29,27
Киотский университет,25,Япония,4499.0,4499.0,,46,55,39
Эдинбургский университет,26,Великобритания,22135.0,23293.0,35552.0,22,30,38
Манчестерский университет,27,Великобритания,26678.0,17785.5,29854.0,32,51,41
Королевский колледж Лондона,28,Великобритания,26799.0,25890.5,39229.5,40,59
Висконсинский университет в Мэдисоне,29,США,38634.0,32070.5,,102,63,35
Нью-Йоркский университет,30,США,54071.5,44799.0,78609.0,38,27,28
Вашингтонский университет,31,США,33346.0,29085.0,,63,25,18
Мельбурнский университет,32,Австралия,26172.0,28297.5,39748.0,14,37,35
Иллинойский университет в Урбане-Шампейне,33,США,30220.0,22608.0,,64,52
Университет Макгилла,34,Канада,25770.0,16442.5,,49
Университет Британской Колумбии,35,Канада,34580.0,23060.0,26784.5,34,41,44
"Высшая нормальная школа, Париж",36,Франция,1623.0,1352.5,
Австралийский национальный университет,37,Австралия,29845.5,27751.5,,34,67,84
Бристольский университет,38,Великобритания,29219.0,23692.5,32458.0,55,81,88
Копенгагенский университет,39,Дания,1592.0,3703.5,13817.0,107,103,32
